image,pixel_area
Betula nana Tüte 1_S0000(TR1)_Z0000_C00_M0007_n0.png,21153.0
Betula nana Tüte 1_S0000(TR1)_Z0000_C00_M0104_n0.png,23183.0
Betula nana Tüte 1_S0000(TR1)_Z0000_C00_M0138_n0.png,20518.0
Betula nana Tüte 1_S0000(TR1)_Z0000_C00_M0262_n0.png,20038.0
Betula nana Tüte 1_S0000(TR1)_Z0001_C00_M0061_n0.png,21688.0
Betula nana Tüte 1_S0000(TR1)_Z0002_C00_M0019_n0.png,22885.0
Betula nana Tüte 1_S0000(TR1)_Z0002_C00_M0025_n0.png,23814.0
Betula nana Tüte 1_S0000(TR1)_Z0002_C00_M0240_n0.png,12302.0
M0003_En_n0.png,198609.0
M0006_En_n0.png,105225.0
M0024_En_n0.png,186732.0
M0038_En_n0.png,213070.0
